code,name,streetCode,provinceCode,cityCode,areaCode
150422200201,"汪安池嘎查村",150422200,15,1504,150422
150422200202,"查干套海嘎查村",150422200,15,1504,150422
150422200203,"前召嘎查村",150422200,15,1504,150422
150422200204,"阿鲁召嘎查村",150422200,15,1504,150422
150422200205,"东哈达英格嘎查村",150422200,15,1504,150422
150422200206,"白音宝力格嘎查村",150422200,15,1504,150422
150422200207,"石房子嘎查",150422200,15,1504,150422
150422201200,"乌珠花嘎查村",150422201,15,1504,150422
150422201201,"哈布其拉嘎查村",150422201,15,1504,150422
150422201202,"上井嘎查村",150422201,15,1504,150422
150422201203,"浩尔吐嘎查村",150422201,15,1504,150422
150422201204,"新浩特嘎查村",150422201,15,1504,150422
150422201205,"浩布高嘎查村",150422201,15,1504,150422
150422202200,"新农村",150422202,15,1504,150422
150422202201,"胡都格村",150422202,15,1504,150422
150422202202,"烧锅窑村",150422202,15,1504,150422
150422202203,"新立村",150422202,15,1504,150422
150422202204,"南沟村",150422202,15,1504,150422
150422202205,"温都好树村",150422202,15,1504,150422
150422202206,"三山村",150422202,15,1504,150422
150422203200,"伙力伙村",150422203,15,1504,150422
150422203201,"郑家段村",150422203,15,1504,150422
150422203202,"钱龙沟村",150422203,15,1504,150422
150422203203,"石旅村",150422203,15,1504,150422
150422203204,"尹家沟村",150422203,15,1504,150422
150422203205,"伙房村",150422203,15,1504,150422
150422203206,"新双井村",150422203,15,1504,150422
150422203207,"鲍团村",150422203,15,1504,150422
150422203208,"黑沙滩营子村",150422203,15,1504,150422
150422203209,"小营子村",150422203,15,1504,150422
150422203210,"于家湾村",150422203,15,1504,150422
150422203211,"上三七地村",150422203,15,1504,150422
150422203212,"下三七地村",150422203,15,1504,150422
150423100001,"镇内",150423100,15,1504,150423
150423100011,"铁路社区",150423100,15,1504,150423
150423100200,"套白村",150423100,15,1504,150423
150423100201,"巴罕宝拉格村",150423100,15,1504,150423
150423100202,"麻斯塔拉嘎查村",150423100,15,1504,150423
150423100203,"大板村",150423100,15,1504,150423
150423100204,"西郊村",150423100,15,1504,150423
150423100205,"百兴嘎查村",150423100,15,1504,150423
150423100206,"莫日古其格村",150423100,15,1504,150423
150423100207,"都希嘎查村",150423100,15,1504,150423
150423100208,"伊逊毛都嘎查村",150423100,15,1504,150423
150423100209,"德日苏宝龙嘎查",150423100,15,1504,150423
150423100210,"乌兰图嘎嘎查村",150423100,15,1504,150423
150423100211,"友爱村",150423100,15,1504,150423
150423100212,"新立村",150423100,15,1504,150423
150423100213,"红星村",150423100,15,1504,150423
150423100214,"翁根毛都嘎查村",150423100,15,1504,150423
150423100216,"浩饶钦嘎查村",150423100,15,1504,150423
150423100217,"宝拉格嘎查村",150423100,15,1504,150423
150423100218,"阿日班格日嘎查村",150423100,15,1504,150423
150423100219,"胡斯台嘎查村",150423100,15,1504,150423
150423100220,"查日斯台嘎查村",150423100,15,1504,150423
150423100221,"归勒斯台嘎查村",150423100,15,1504,150423
150423100222,"那日斯台嘎查村",150423100,15,1504,150423
150423100223,"准哈日毛都嘎查村",150423100,15,1504,150423
150423100224,"巴彦汗嘎查村",150423100,15,1504,150423
150423100225,"巴润哈日毛都嘎查村",150423100,15,1504,150423
150423100226,"苏艾勒嘎查村",150423100,15,1504,150423
150423100227,"吉布吐村",150423100,15,1504,150423
150423100228,"乌额根图嘎查村",150423100,15,1504,150423
150423100229,"胡特林高勒村",150423100,15,1504,150423
150423100230,"沙日沐沦嘎查村",150423100,15,1504,150423
150423100231,"和布特哈达村",150423100,15,1504,150423
150423100232,"友联村",150423100,15,1504,150423
150423100233,"新达冷村",150423100,15,1504,150423
150423100234,"前进村",150423100,15,1504,150423
150423100235,"玛拉沁村",150423100,15,1504,150423
150423101200,"塔西村",150423101,15,1504,150423
150423101201,"镇内",150423101,15,1504,150423
150423101202,"琥硕芒哈嘎查村",150423101,15,1504,150423
150423101203,"常兴村",150423101,15,1504,150423
150423101204,"乌兰绍荣嘎查村",150423101,15,1504,150423
150423101205,"巴根吐村",150423101,15,1504,150423
150423101206,"辉腾高勒村",150423101,15,1504,150423
150423101207,"骆驼井子村",150423101,15,1504,150423
150423101208,"包木绍绕嘎查村",150423101,15,1504,150423
150423101209,"阿日山艾勒嘎查村",150423101,15,1504,150423
150423101210,"阿日山高勒村",150423101,15,1504,150423
150423101211,"罕山沟村",150423101,15,1504,150423
150423101212,"朝阳村",150423101,15,1504,150423
150423101213,"黑山头村",150423101,15,1504,150423
150423101214,"太本庙村",150423101,15,1504,150423
150423101215,"荣升村",150423101,15,1504,150423
150423101216,"海日其格村",150423101,15,1504,150423
150423101217,"海日斯达巴村",150423101,15,1504,150423
150423101218,"胡都格绍荣村",150423101,15,1504,150423
150423101219,"太本艾勒嘎查村",150423101,15,1504,150423
150423102200,"新井村",150423102,15,1504,150423
150423102201,"三座山村",150423102,15,1504,150423
150423102202,"吉林嘎查村",150423102,15,1504,150423
150423102203,"大新庙村",150423102,15,1504,150423
150423102204,"老房身村",150423102,15,1504,150423
150423102205,"太平村",150423102,15,1504,150423
150423102206,"银德日图村",150423102,15,1504,150423
150423102207,"李家园子村",150423102,15,1504,150423
150423102208,"会庙嘎查村",150423102,15,1504,150423
150423102209,"宝日道布嘎查村",150423102,15,1504,150423
150423102210,"巴彦花嘎查村",150423102,15,1504,150423
150423102211,"敖包图嘎查村",150423102,15,1504,150423
150423102212,"镇内",150423102,15,1504,150423
150423102213,"洪格尔嘎查村",150423102,15,1504,150423
150423102214,"哈如拉嘎查村",150423102,15,1504,150423
150423102215,"苏吉嘎查村",150423102,15,1504,150423
150423102216,"巴彦萨如拉嘎查村",150423102,15,1504,150423
150423102217,"巴彦宝拉格嘎查村",150423102,15,1504,150423
150423102218,"赛音勿苏嘎查村",150423102,15,1504,150423
